file_name,dset_path,n_vec,vec_dim,dtype,sample_vec
LymphNode_HE_104.h5,/features,1136,1024,float32,"0.382,-0.4609,-0.3971,1.734,0.663,3.328,-1.349,1.215,-0.7434,-0.1395"
LymphNode_HE_105.h5,/features,1261,1024,float32,"2.134,2.329,-0.4177,-0.5938,-2.465,-0.002014,0.5935,1.026,-1.688,0.3655"
LymphNode_HE_107.h5,/features,1586,1024,float32,"0.5655,-1.391,-1.379,0.2805,0.5097,0.1867,1.704,1.7,0.9084,0.6412"
LymphNode_HE_109.h5,/features,922,1024,float32,"1.546,-0.3876,-1.484,1.183,0.3885,1.541,-0.8353,3.266,0.3352,-0.1028"
LymphNode_HE_112.h5,/features,834,1024,float32,"0.2723,-2,-1.298,0.8115,1.545,0.7923,-1.059,1.139,-0.5821,0.09086"
LymphNode_HE_113.h5,/features,1030,1024,float32,"-0.07985,0.8375,-0.6662,1.593,2.091,1.142,0.03537,1.229,0.2993,1.823"
LymphNode_HE_114.h5,/features,1410,1024,float32,"2.268,-1.006,-1.623,0.6192,0.6813,1.086,-1.07,1.273,-0.4225,0.802"
LymphNode_HE_115.h5,/features,807,1024,float32,"-0.419,-0.731,-3.427,1.284,1.162,0.3276,-2.112,3.234,1.675,1.125"
LymphNode_HE_121.h5,/features,1160,1024,float32,"0.3438,-0.809,-2.008,0.9015,0.6986,0.8123,0.2184,1.425,0.4194,0.4434"
LymphNode_HE_123.h5,/features,1348,1024,float32,"0.4854,-0.9729,-2.653,-0.9468,0.7609,-1.166,-0.6059,0.8478,-0.1761,-0.7402"
LymphNode_HE_125.h5,/features,1132,1024,float32,"2.28,-0.007396,-1.605,0.07017,-0.4357,1.988,-0.8466,1.888,-0.112,0.5884"
LymphNode_HE_126.h5,/features,2520,1024,float32,"1.173,0.6743,-0.418,-0.7125,-0.947,0.8218,0.3422,1.224,0.04008,-0.1199"
LymphNode_HE_129.h5,/features,1199,1024,float32,"2.457,-1.589,-2.099,0.8768,0.3918,1.576,-0.156,2.752,0.4236,0.1756"
LymphNode_HE_130.h5,/features,1650,1024,float32,"1.314,1.481,0.7761,-0.2571,0.4823,0.03112,0.9941,0.2787,-0.779,0.9436"
LymphNode_HE_131.h5,/features,1007,1024,float32,"-1.417,-1.601,-1.576,0.983,1.308,0.7813,-0.1002,1.013,0.2149,0.7813"
LymphNode_HE_132.h5,/features,2052,1024,float32,"0.4305,0.8426,0.7703,0.3777,0.752,0.4337,-2.029,2.048,0.5822,-0.1737"
LymphNode_HE_134.h5,/features,1080,1024,float32,"0.9057,-1.449,0.2312,0.3315,-1.111,-0.3907,1.629,0.4882,0.1398,1.499"
LymphNode_HE_138.h5,/features,1221,1024,float32,"0.911,0.902,-0.9338,1.063,1.827,-0.02741,-1.295,2.505,0.5656,0.2299"
LymphNode_HE_139.h5,/features,712,1024,float32,"1.787,-1.34,-1.123,0.7065,0.2375,1.682,-2.051,1.683,-1.218,0.8896"
LymphNode_HE_141.h5,/features,1409,1024,float32,"1.145,-0.7742,-0.731,0.9509,-0.1789,0.418,-1.158,0.6489,-0.3747,1.332"
LymphNode_HE_142.h5,/features,492,1024,float32,"-1.084,0.5695,-1.925,2.528,1.167,1.546,-0.6248,1.118,0.6829,0.383"
LymphNode_HE_143.h5,/features,939,1024,float32,"0.4879,0.8581,-1.503,1.41,1.442,0.4253,-2.184,1.574,0.1863,0.3868"
LymphNode_HE_144.h5,/features,1577,1024,float32,"-0.5307,-1.307,-0.3917,0.3462,0.001378,-0.2218,-0.6277,0.7847,0.5827,-0.9343"
LymphNode_HE_147.h5,/features,758,1024,float32,"1.724,-0.00855,-1.932,0.4746,0.7877,0.3617,-0.5714,1.449,-0.475,-1.134"
LymphNode_HE_148.h5,/features,563,1024,float32,"1.723,-0.7777,-2.348,0.165,0.6159,1.279,-2.535,1.774,-0.2514,1.136"
LymphNode_HE_150.h5,/features,1143,1024,float32,"0.4082,0.1222,-1.35,0.8672,0.1369,-1.144,-0.9586,0.3601,1.244,-1.196"
LymphNode_HE_152.h5,/features,2119,1024,float32,"-0.9027,-0.1368,-0.8809,0.0113,1.821,-0.328,-0.4132,1.092,-1.748,0.8713"
LymphNode_HE_153.h5,/features,1335,1024,float32,"2.136,-0.1039,-4.027,1.335,0.4657,2.407,-0.6331,2.125,0.4789,-0.3737"
LymphNode_HE_157.h5,/features,3666,1024,float32,"1.809,0.7313,-0.9834,-0.7995,-2.309,1.334,1.408,1.747,-0.2006,0.3782"
LymphNode_HE_158.h5,/features,1072,1024,float32,"2.994,0.4408,-2.081,0.4606,1.324,1.664,-1.311,1.055,-0.1903,0.129"
LymphNode_HE_159.h5,/features,817,1024,float32,"2.07,-1.826,-2.443,0.2242,-0.6785,0.9208,1.064,3.073,1.274,1.326"
LymphNode_HE_165.h5,/features,1852,1024,float32,"0.94,0.0228,0.5849,-0.3098,1.594,-1.233,-1.896,0.2245,-0.05913,-0.03227"
LymphNode_HE_177.h5,/features,1697,1024,float32,"0.4886,0.000992,0.9561,0.06508,0.05484,0.001114,-1.185,2.511,-0.3564,-0.1081"
LymphNode_HE_180.h5,/features,1251,1024,float32,"0.9186,2.372,0.2793,0.2891,-0.2889,-1.187,-0.9382,0.2156,-0.05562,1.72"
LymphNode_HE_181.h5,/features,1644,1024,float32,"0.2108,2.313,1.903,2.49,-0.3005,-0.7206,-2.298,1.66,0.6269,-0.6445"
LymphNode_HE_182.h5,/features,2611,1024,float32,"1.552,1.462,-0.2652,-1.053,-0.4503,0.1314,1.245,-0.2215,0.9526,-0.05702"
LymphNode_HE_184.h5,/features,1261,1024,float32,"2.455,1.248,-1.75,1.6,2.841,0.3666,-1.031,1.054,0.3326,-0.2297"
LymphNode_HE_185.h5,/features,751,1024,float32,"0.06243,-0.594,-1.326,2.789,2.962,2.361,-0.9104,1.838,0.7926,1.515"
LymphNode_HE_188.h5,/features,1208,1024,float32,"-0.3501,-1.952,-1.839,1.267,1.598,0.06743,-2.251,1.883,0.8468,1.421"
LymphNode_HE_189.h5,/features,2989,1024,float32,"0.162,0.9413,1.09,-0.0909,-0.9109,1.476,0.5876,0.6794,-0.9502,1.478"
LymphNode_HE_191.h5,/features,1108,1024,float32,"1.097,-0.439,-0.7791,0.5718,1.36,0.8236,-1.158,0.6584,0.5168,1.142"
LymphNode_HE_192.h5,/features,786,1024,float32,"0.1028,-1.622,-0.2858,-0.06805,1.045,-0.9281,2.26,3.204,-0.2967,-0.4688"
LymphNode_HE_195.h5,/features,933,1024,float32,"2.409,-0.681,-1.173,-0.1942,1.514,1.244,-2.29,2.064,0.1007,1.185"
LymphNode_HE_197.h5,/features,1057,1024,float32,"-0.3081,0.0741,-0.8021,1.086,3.647,1.703,-1.071,1.417,0.9961,0.971"
LymphNode_HE_199.h5,/features,2508,1024,float32,"0.4243,-0.241,1.109,-0.08307,0.5315,-0.8378,-0.8636,2.754,-1.503,-0.5055"
LymphNode_HE_201.h5,/features,1542,1024,float32,"2.411,-0.7784,0.9874,0.01746,0.7599,1.001,-0.608,-1.013,0.02006,0.2168"
LymphNode_HE_204.h5,/features,962,1024,float32,"1.997,0.2661,-2.021,1.986,0.7456,2.971,-1.263,2.823,0.2374,0.7977"
LymphNode_HE_208.h5,/features,845,1024,float32,"-1.58,-0.9931,-0.8203,1.887,0.7858,1.859,-1.174,1.271,-0.1387,0.3064"
LymphNode_HE_210.h5,/features,2497,1024,float32,"-1.583,-0.5437,-0.3908,-0.1687,1.187,0.0962,-1.544,1.611,-0.0722,-0.239"
LymphNode_HE_214.h5,/features,584,1024,float32,"-0.4439,0.3154,0.3961,0.008559,-0.1794,1.487,0.6034,0.9046,0.007566,0.2528"
LymphNode_HE_215.h5,/features,682,1024,float32,"0.3484,-0.2657,-1.478,0.9775,1.959,-0.2283,-0.7808,2.031,0.3139,1.162"
LymphNode_HE_217.h5,/features,1716,1024,float32,"1.28,-0.8853,-1.676,0.8362,0.9705,0.1019,0.4954,1.866,0.2526,-0.9628"
LymphNode_HE_218.h5,/features,2696,1024,float32,"0.1639,0.9483,-0.3513,0.7435,-0.9959,0.2325,0.8952,1.959,0.04649,0.9094"
LymphNode_HE_221.h5,/features,1613,1024,float32,"0.297,-2.135,-1.575,1.156,1.238,0.1794,-0.4189,1.627,0.2907,0.3114"
LymphNode_HE_222.h5,/features,992,1024,float32,"0.4231,-3.039,-1.586,0.843,0.8456,1.304,-0.3231,1.859,1.341,1.627"
LymphNode_HE_228.h5,/features,900,1024,float32,"3.582,-1.213,-0.4135,0.8683,1.378,1.395,-0.0704,0.4363,0.4799,0.625"
LymphNode_HE_231.h5,/features,1461,1024,float32,"1.436,0.7315,-1.251,1.524,1.138,0.8796,-3.511,1.497,0.4201,0.2902"
LymphNode_HE_232.h5,/features,2226,1024,float32,"-0.1464,1.086,-0.1248,1.418,0.3339,-0.9968,-2.969,1.46,0.9986,-0.551"
LymphNode_HE_234.h5,/features,1183,1024,float32,"0.2535,-0.07211,-1.546,1.023,0.5168,0.5429,0.04855,1.443,0.2845,-0.3046"
LymphNode_HE_236.h5,/features,1089,1024,float32,"-1.13,-0.6127,-1.506,1.22,1.143,1.541,-1.896,1.946,-0.4743,0.1261"
LymphNode_HE_239.h5,/features,1103,1024,float32,"-0.392,-0.9671,0.4801,0.3166,-0.3955,0.6799,-0.5194,1.234,-0.9465,0.8963"
LymphNode_HE_240.h5,/features,651,1024,float32,"1.461,-1.661,-2.068,0.9872,0.4255,2.393,-0.7433,2.31,-0.6366,-0.4508"
LymphNode_HE_244.h5,/features,1283,1024,float32,"-1.579,1.245,-0.08319,2.038,1.201,1.655,0.6143,1.298,1.198,-0.1845"
LymphNode_HE_248.h5,/features,2706,1024,float32,"0.3294,1.321,0.06673,0.6321,-0.3711,1.002,1.462,0.08767,0.1573,0.3829"
LymphNode_HE_250.h5,/features,1032,1024,float32,"1.658,-3.135,-1.548,0.4767,1.261,0.922,-1.214,2.038,-0.4335,0.002088"
LymphNode_HE_252.h5,/features,519,1024,float32,"0.9276,-1.613,-1.488,1.024,0.4911,0.7825,-1.885,0.3425,-0.1559,0.09832"
LymphNode_HE_253.h5,/features,1394,1024,float32,"2.653,0.5785,-0.2451,-0.9363,-0.4188,1.133,1.579,1.561,0.107,0.3551"
LymphNode_HE_254.h5,/features,401,1024,float32,"-0.3315,1.772,-2.08,0.5051,1.412,0.08907,0.5018,1.178,0.8713,0.5497"
LymphNode_HE_257.h5,/features,1076,1024,float32,"0.7219,0.7024,-0.3842,1.387,0.7389,0.9174,-0.4555,0.6756,-0.3342,0.2532"
LymphNode_HE_259.h5,/features,545,1024,float32,"1.929,0.3694,-1.302,1.916,-0.702,1.475,-0.705,1.544,0.8343,-0.1964"
LymphNode_HE_260.h5,/features,1094,1024,float32,"-0.1875,0.66,-0.1159,-0.053,1.909,-0.1751,-0.4836,2.67,-0.4515,0.3055"
LymphNode_HE_262.h5,/features,1653,1024,float32,"-0.4582,1.472,0.848,1.214,0.2728,-1.161,-0.363,0.5904,1.043,0.1488"
LymphNode_HE_264.h5,/features,928,1024,float32,"0.6126,0.6655,0.548,1.025,-0.1621,-1.348,0.6225,1.932,-0.1385,0.2805"
LymphNode_HE_266.h5,/features,1773,1024,float32,"-0.3838,2.323,1.029,-0.07084,-1.038,-0.9893,-1.547,-1.25,0.07585,-0.4074"
LymphNode_HE_268.h5,/features,2512,1024,float32,"1.26,0.5141,0.06243,-0.2332,-3.069,-0.6696,-1.339,-1.129,-1.085,0.9235"
LymphNode_HE_269.h5,/features,1533,1024,float32,"-0.5829,-0.9162,-1.685,2.322,1.868,1.132,-2.686,1.68,0.166,0.2787"
LymphNode_HE_270.h5,/features,1082,1024,float32,"-0.4333,-0.3704,-0.1751,0.3592,0.7302,-0.5937,1.721,1.605,0.2216,0.901"
LymphNode_HE_271.h5,/features,1122,1024,float32,"0.2024,-0.1707,-2.333,0.9601,1.099,1.329,-2.535,1.602,0.6386,0.0248"
LymphNode_HE_274.h5,/features,2803,1024,float32,"1.056,2.037,-0.4344,0.8488,-1.011,-1.765,-0.1327,2.715,-0.7458,-0.5811"
LymphNode_HE_276.h5,/features,1711,1024,float32,"-0.5625,-1.461,0.4735,0.01354,0.5709,1.543,-1.828,1.384,-0.2065,0.04887"
LymphNode_HE_278.h5,/features,998,1024,float32,"0.8134,0.398,-1.008,0.6298,2.139,-0.1397,-2.177,0.3417,0.2723,0.1474"
LymphNode_HE_282.h5,/features,1029,1024,float32,"-1.472,1.183,0.1478,1.731,1.886,-0.6413,-0.8277,0.2976,1.06,-0.5166"
LymphNode_HE_284.h5,/features,786,1024,float32,"0.8283,-0.5854,-0.2693,0.8295,0.77,0.4856,-2.715,2.321,-0.1502,0.4021"
LymphNode_HE_286.h5,/features,539,1024,float32,"-1.405,-0.05724,-1.799,1.794,2.159,1.78,-0.5452,2.166,-0.3347,0.2042"
LymphNode_HE_287.h5,/features,1186,1024,float32,"-1.26,-0.7166,-0.3176,1.643,1.118,2.001,-0.134,0.9577,-0.4478,0.4686"
LymphNode_HE_290.h5,/features,2078,1024,float32,"1.096,-1.516,0.2752,0.2609,2.978,0.5599,-1.121,0.5792,-0.987,0.1187"
LymphNode_HE_293.h5,/features,744,1024,float32,"-0.07211,-0.7754,-1.3,0.939,2.451,0.7106,-0.6014,1.673,0.5885,0.3108"
LymphNode_HE_294.h5,/features,2000,1024,float32,"1.979,1.336,0.8375,-1.249,-2.992,0.6994,-2.752,0.6038,-1.629,0.07686"
LymphNode_HE_295.h5,/features,2292,1024,float32,"-0.1563,0.2758,-0.8208,0.5422,0.8154,0.1755,0.5248,2.744,-0.9245,0.1398"
LymphNode_HE_296.h5,/features,865,1024,float32,"-0.01832,-1.041,-1.971,1.263,1.296,1.484,-0.2876,1.795,0.1264,0.3842"
LymphNode_HE_297.h5,/features,2294,1024,float32,"2.531,-0.1938,-1.143,0.9944,0.8994,-0.2408,0.01715,1.966,0.8499,-1.236"
LymphNode_HE_298.h5,/features,657,1024,float32,"1.656,-0.5533,-1.056,0.9849,-0.1965,1.448,-0.07146,1.967,0.9382,1.438"
LymphNode_HE_299.h5,/features,903,1024,float32,"1.07,-0.4313,-2.234,1.434,-0.4529,1.953,-0.6939,0.6086,0.9737,0.9712"
LymphNode_HE_300.h5,/features,1050,1024,float32,"0.8968,0.4662,0.301,1.301,0.7007,-1.415,-1.477,0.3135,0.1858,-0.1393"
LymphNode_HE_301.h5,/features,1645,1024,float32,"1.231,2.084,-0.2345,-0.5298,-1.786,1.09,-1.901,0.6118,-2.141,0.4864"
LymphNode_HE_302.h5,/features,1946,1024,float32,"0.05637,-0.1803,-1.234,0.2326,1.217,0.0312,-1.222,1.809,0.6134,0.7994"
LymphNode_HE_303.h5,/features,702,1024,float32,"-0.08966,-1.785,-2.065,1.483,0.1947,1.976,-1.946,3.352,0.7486,0.3114"
LymphNode_HE_304.h5,/features,990,1024,float32,"2.16,0.2074,-2.777,1.052,1.326,2.373,-0.2752,2.397,0.8897,0.5541"
LymphNode_HE_306.h5,/features,1349,1024,float32,"0.9023,0.4065,-0.4292,2.057,1.126,1.012,-1.14,1.466,0.5317,-0.1914"
LymphNode_HE_311.h5,/features,980,1024,float32,"0.5177,0.9346,-0.8914,0.5715,1.392,1.424,0.9122,1.038,0.2938,0.6071"
LymphNode_HE_312.h5,/features,856,1024,float32,"1.131,-0.1328,-2.599,-0.1712,0.6251,1.376,1.532,0.9527,-1.422,-0.1741"
LymphNode_HE_314.h5,/features,761,1024,float32,"2.063,-2.098,-1.785,0.8702,1.068,1.699,-2.074,3.174,0.2957,1.252"
LymphNode_HE_315.h5,/features,1808,1024,float32,"-1.025,0.8654,0.08395,-0.21,0.9933,-2.002,-0.3108,-0.1555,-0.2199,0.04013"
LymphNode_HE_316.h5,/features,928,1024,float32,"0.9973,-1.063,-2.624,0.6845,1.296,1.807,-2.241,1.553,0.6789,-0.1812"
LymphNode_HE_321.h5,/features,996,1024,float32,"0.07362,-0.988,-1.236,0.4729,1.148,-0.07051,-1.254,1.952,0.5904,1.554"
LymphNode_HE_322.h5,/features,1366,1024,float32,"1.147,1.573,-0.9054,1.543,-0.2898,1.642,0.5569,2.836,-0.488,-0.5187"
LymphNode_HE_325.h5,/features,1798,1024,float32,"-0.2151,1.583,-0.2049,0.419,-0.06049,-1.439,0.274,-0.07072,0.5311,-0.8478"
LymphNode_HE_326.h5,/features,967,1024,float32,"1.346,0.6441,-1.434,0.894,0.5392,1.057,-0.2912,0.7668,0.3387,0.3853"
LymphNode_HE_327.h5,/features,1295,1024,float32,"-0.01414,-0.9865,-2.457,1.505,0.9436,0.8588,-1.179,1.961,-0.5816,0.9416"
LymphNode_HE_329.h5,/features,784,1024,float32,"-0.3783,0.7315,-0.9355,1.487,0.6672,0.7365,-0.6932,2.231,0.1682,-0.7667"
LymphNode_HE_330.h5,/features,1369,1024,float32,"0.98,-2.074,-0.121,0.7989,1.152,0.9262,0.479,0.9575,-0.4611,0.4317"
LymphNode_HE_332.h5,/features,1104,1024,float32,"1.261,0.4669,-0.9814,1.139,1.222,1.878,-0.6494,1.75,0.2522,1.049"
LymphNode_HE_333.h5,/features,1712,1024,float32,"-0.3943,1.995,-0.7409,-0.2095,-0.6498,0.7833,0.09958,1.002,-1.213,2.165"
LymphNode_HE_336.h5,/features,2834,1024,float32,"0.6789,0.7363,0.3773,-1.477,-0.0521,0.7447,0.175,0.5451,0.1382,0.5838"
LymphNode_HE_339.h5,/features,708,1024,float32,"2.529,-0.6028,-2.469,1.235,-0.6627,2.5,-0.7506,1.665,0.5648,0.4064"
LymphNode_HE_340.h5,/features,2476,1024,float32,"0.8418,0.796,0.3845,0.1146,0.9249,-0.9037,-2.316,1.28,0.0837,-0.3621"
LymphNode_HE_341.h5,/features,2945,1024,float32,"3.026,2.113,0.2137,-1.419,-2.405,0.7339,-1.209,0.6692,-2.508,-0.0435"
LymphNode_HE_348.h5,/features,1829,1024,float32,"0.5526,-0.502,-0.09846,0.789,1.761,-0.4843,-1.171,0.05824,0.52,-0.4651"
LymphNode_HE_349.h5,/features,1307,1024,float32,"2.162,-0.1493,-0.204,0.7737,2.556,2.314,-2.774,0.7615,0.3999,-0.9287"
LymphNode_HE_350.h5,/features,1007,1024,float32,"-1.366,0.5883,-1.25,1.806,3.708,1.607,-2.104,1.09,-0.09909,0.2846"
LymphNode_HE_352.h5,/features,737,1024,float32,"1.287,-0.7118,-2.211,1.219,2.017,1.038,1.05,2.636,0.496,0.8006"
LymphNode_HE_355.h5,/features,1205,1024,float32,"1.618,2.209,1.072,-0.06164,0.7536,-2.028,-1.309,0.9436,-0.03968,-0.2578"
LymphNode_HE_358.h5,/features,898,1024,float32,"2.024,-0.702,-3.324,1.588,1.272,2.571,-0.1018,1.112,-0.367,-0.3581"
LymphNode_HE_359.h5,/features,690,1024,float32,"0.6587,-0.1153,-0.2987,1.301,1.593,-0.3066,-0.6439,0.1333,0.2992,-1.118"
LymphNode_HE_361.h5,/features,703,1024,float32,"-0.07623,-1.169,-1.081,1.099,0.2231,0.6913,-2.082,0.9895,0.1617,1.107"
LymphNode_HE_362.h5,/features,1271,1024,float32,"-1.029,0.9301,1.329,-0.0002479,0.5955,-1.23,-0.2644,0.7151,0.251,-0.2435"
LymphNode_HE_370.h5,/features,1891,1024,float32,"-0.4492,0.3164,0.8653,0.7787,1.01,1.452,0.6029,1.6,-1.77,1.309"
LymphNode_HE_372.h5,/features,1048,1024,float32,"-0.1398,-1.045,-1.416,1.066,1.683,0.3896,-1.891,2.715,-0.1173,0.6619"
LymphNode_HE_373.h5,/features,943,1024,float32,"1.794,-2.132,-2.131,0.8819,0.3218,0.8119,-0.483,0.249,1.323,0.2189"
